2025-04-17,c,S,T,l
2025-04-17,p,B,L,l
2025-04-17,p,H,E,l
2025-04-18,c,S,G,l
2025-04-18,c,T,C,l
2025-04-18,p,E,M,l
2025-04-18,p,L,H,w
2025-04-18,p,B,F,w
2025-04-19,c,D,DB,w
2025-04-19,c,T,C,l
2025-04-19,c,S,G,l
2025-04-19,p,B,F,l
2025-04-19,p,E,M,w
2025-04-19,p,L,H,w
2025-04-20,c,D,DB,w
2025-04-20,c,T,C,w
2025-04-20,c,S,G,w
2025-04-20,p,E,M,w
2025-04-20,p,L,H,l
2025-04-20,p,B,F,l
2025-04-22,c,DB,T,l
2025-04-22,c,G,D,w
2025-04-22,p,F,E,l
2025-04-22,p,M,L,w
2025-04-22,p,H,B,d
2025-04-23,c,DB,T,l
2025-04-23,c,G,D,w
2025-04-23,c,C,S,w
2025-04-23,p,F,E,l
2025-04-23,p,M,L,w
2025-04-23,p,H,B,w
2025-04-24,c,DB,T,l
2025-04-25,c,DB,C,w
2025-04-25,c,D,S,l
2025-04-25,c,T,G,w
2025-04-25,p,F,M,l
2025-04-25,p,E,H,l
2025-04-25,p,L,B,l
2025-04-26,c,DB,C,w
2025-04-26,c,D,S,w
2025-04-26,c,T,G,w
2025-04-26,p,F,M,w
2025-04-26,p,E,H,w
2025-04-26,p,L,B,w
2025-04-27,c,D,S,l
2025-04-27,c,DB,C,w
2025-04-27,c,T,G,l
2025-04-27,p,F,M,l
2025-04-27,p,E,H,w
2025-04-27,p,L,B,w
2025-04-29,c,S,DB,l
2025-04-29,c,G,C,w
2025-04-29,c,D,T,w
2025-04-29,p,B,M,w
2025-04-29,p,L,E,w
2025-04-29,p,H,F,l
2025-04-30,c,G,C,w
2025-04-30,c,S,DB,w
2025-04-30,c,D,T,w
2025-04-30,p,L,E,w
2025-04-30,p,B,M,w
2025-04-30,p,H,F,l
2025-05-01,c,G,C,w
2025-05-01,c,S,DB,l
2025-05-01,c,D,T,w
2025-05-01,p,L,E,w
2025-05-01,p,H,F,l
2025-05-02,c,T,S,w
2025-05-02,c,C,D,l
2025-05-02,p,H,M,w
2025-05-03,c,DB,G,w
2025-05-03,c,T,S,w
2025-05-03,c,C,D,w
2025-05-03,p,F,L,l
2025-05-03,p,E,B,l
2025-05-03,p,H,M,w
2025-05-04,c,C,D,w
2025-05-04,c,DB,G,l
2025-05-04,c,T,S,l
2025-05-04,p,F,L,w
2025-05-04,p,E,B,w
2025-05-04,p,H,M,w
2025-05-05,c,D,DB,l
2025-05-05,c,G,T,l
2025-05-05,c,S,C,l
2025-05-05,p,M,E,l
2025-05-05,p,L,H,l
2025-05-05,p,B,F,w
2025-05-06,c,D,DB,l
2025-05-06,c,G,T,l
2025-05-06,p,L,H,l
2025-05-06,p,B,F,l
2025-05-07,c,G,T,w
2025-05-07,c,S,C,l
2025-05-07,c,D,DB,w
2025-05-07,p,L,H,w
2025-05-07,p,M,E,w
2025-05-07,p,B,F,d
2025-05-09,c,S,G,w
2025-05-09,c,DB,C,w
2025-05-09,p,F,E,w
2025-05-09,p,L,M,w
2025-05-09,p,B,H,l
2025-05-10,c,DB,C,l
2025-05-10,c,T,D,w
2025-05-10,c,S,G,l
2025-05-10,p,F,E,w
2025-05-10,p,L,M,w
2025-05-10,p,B,H,w
2025-05-11,c,DB,C,w
2025-05-11,c,T,D,w
2025-05-11,c,S,G,w
2025-05-11,p,F,E,w
2025-05-11,p,B,H,l
2025-05-11,p,L,M,w
2025-05-13,c,DB,T,d
2025-05-13,c,D,S,w
2025-05-13,c,C,G,w
2025-05-13,p,F,B,w
2025-05-13,p,E,M,w
2025-05-13,p,H,L,w
2025-05-14,c,D,S,w
2025-05-14,c,C,G,w
2025-05-14,p,F,B,l
2025-05-14,p,E,M,w
2025-05-14,p,H,L,l
2025-05-15,c,DB,T,w
2025-05-15,c,C,G,w
2025-05-15,p,F,B,w
2025-05-15,p,E,M,l
2025-05-15,p,H,L,w
2025-05-16,c,G,D,w
2025-05-16,c,S,DB,l
2025-05-16,c,T,C,l
2025-05-16,p,L,B,w
2025-05-16,p,M,F,l
2025-05-16,p,H,E,l
2025-05-17,c,T,C,w
2025-05-17,c,G,D,w
2025-05-17,c,S,DB,w
2025-05-17,p,L,B,w
2025-05-17,p,H,E,w
2025-05-18,c,G,D,l
2025-05-18,c,T,C,w
2025-05-18,c,S,DB,l
2025-05-18,p,L,B,l
2025-05-18,p,M,F,w
2025-05-18,p,H,E,w
2025-05-20,c,DB,D,w
2025-05-20,c,T,G,w
2025-05-20,c,C,S,w
2025-05-20,p,F,H,l
2025-05-20,p,E,L,l
2025-05-20,p,B,M,w
2025-05-21,c,DB,D,l
2025-05-21,c,T,G,l
2025-05-21,p,F,H,w
2025-05-21,p,B,M,w
2025-05-22,c,DB,D,w
2025-05-22,c,T,G,l
2025-05-22,c,C,S,d
2025-05-22,p,F,H,l
2025-05-22,p,E,L,w
2025-05-22,p,B,M,l
2025-05-23,c,G,S,w
2025-05-23,c,D,T,l
2025-05-23,c,C,DB,l
2025-05-23,p,E,F,l
2025-05-23,p,M,L,w
2025-05-24,c,D,T,w
2025-05-24,c,G,S,w
2025-05-24,p,E,F,w
2025-05-24,p,M,L,l
2025-05-25,c,D,T,l
2025-05-25,c,C,DB,w
2025-05-25,c,G,S,w
2025-05-25,p,E,F,d
2025-05-25,p,M,L,l
2025-05-25,p,H,B,l
2025-05-27,c,G,C,l
2025-05-27,c,S,D,w
2025-05-27,c,T,DB,w
2025-05-27,p,L,E,l
2025-05-27,p,M,B,w
2025-05-27,p,H,F,l
2025-05-28,c,G,C,w
2025-05-28,c,S,D,l
2025-05-28,c,T,DB,w
2025-05-28,p,L,E,w
2025-05-28,p,M,B,l
2025-05-28,p,H,F,w
2025-05-29,c,S,D,l
2025-05-29,c,T,DB,l
2025-05-29,p,L,E,l
2025-05-30,c,DB,S,w
2025-05-30,c,D,G,l
2025-05-30,c,C,T,l
2025-05-30,p,F,M,w
2025-05-30,p,E,H,l
2025-05-31,c,DB,S,w
2025-05-31,c,D,G,w
2025-05-31,c,C,T,l
2025-05-31,p,F,M,w
2025-05-31,p,B,L,w
