W001  | 1| 1|1|o|o|0,1,0,0,0,0,0,0,0|0,1,0,0,0,0,0,0,0|-|1| 3|
W002  | 4| 2|1|o|o|0,2,0,0,0,0,0,0,0|0,1,0,0,0,0,0,0,0|a|2| 4|
W003  | 4| 2|2|o|o|0,1,1,0,0,0,0,0,0|1,0,0,1,0,0,0,0,0|-|2| 8|
W004  | 4| 2|3|o|o|0,1,0,1,0,0,0,0,0|0,0,1,0,0,0,0,0,0|-|1| 4|
W005  | 4| 4|2|o|o|0,3,1,0,0,0,0,0,0|1,0,1,1,0,0,0,0,0|-|3|11|
W006  | 4| 4|3|o|o|0,3,0,1,0,0,0,0,0|0,0,1,1,0,0,0,0,0|-|2| 7|
W007  | 4| 4|4|o|o|0,1,1,1,1,0,0,0,0|0,1,0,0,1,0,0,0,0|-|2| 6|
W008  | 7| 5|3|o|x|0,3,1,1,0,0,0,0,0|0,1,0,0,1,0,0,0,0|a|3| 7|
W009  | 7| 5|5|x|x|0,1,1,1,1,1,0,0,0|1,0,0,1,0,0,1,0,0|-|3|11|
W010  | 7| 7|3|x|o|0,4,1,2,0,0,0,0,0|1,0,1,1,0,0,0,0,0|-|3| 9|
W011  | 7| 7|3|o|o|0,3,3,1,0,0,0,0,0|0,1,1,1,1,0,0,0,0|-|4| 9|
W012  | 7| 7|3|o|o|0,3,2,2,0,0,0,0,0|0,1,1,1,1,0,0,0,0|-|4| 9|
W013  | 7| 7|4|o|x|0,3,2,1,1,0,0,0,0|1,0,1,1,0,1,0,0,0|-|4|13|
W014  | 7| 7|3|o|o|0,3,1,3,0,0,0,0,0|1,1,1,1,1,0,0,0,0|-|5|13|
W015  | 7| 7|4|o|x|0,3,1,2,1,0,0,0,0|0,0,1,1,0,1,0,0,0|-|3| 9|
W016  | 7| 7|5|o|o|0,3,1,1,1,1,0,0,0|1,0,1,1,0,1,1,0,0|-|5|17|
W017  | 7| 7|6|o|o|0,3,1,1,1,0,1,0,0|0,0,0,0,0,1,1,0,0|-|2| 7|
W018  | 7| 7|5|o|x|0,3,0,2,1,1,0,0,0|0,0,1,1,0,0,1,0,0|-|3|10|
W019  | 7| 7|6|o|o|0,3,0,1,1,1,1,0,0|0,0,1,1,0,0,1,0,0|-|3|10|
W020  | 7| 7|5|o|o|0,3,0,1,0,3,0,0,0|0,0,1,1,1,0,0,0,0|-|3|11|
W021  | 7| 7|3|o|x|0,2,4,1,0,0,0,0,0|1,1,0,1,1,0,0,0,0|-|4|13|
W022  | 7| 7|3|o|o|0,2,3,2,0,0,0,0,0|0,1,1,1,0,0,0,0,0|-|3| 5|
W023  | 7| 7|4|o|o|0,1,4,1,1,0,0,0,0|1,1,0,1,1,0,0,0,0|-|4|13|
W024  | 7| 7|5|o|x|0,1,3,1,1,1,0,0,0|1,1,0,1,0,0,1,0,0|-|4|14|
W025  | 7| 7|6|x|o|0,1,1,2,1,1,1,0,0|1,0,0,1,0,0,1,0,0|-|3| 9|
W026  | 7| 7|7|o|o|0,1,1,1,1,1,1,1,0|0,1,0,0,1,0,0,1,0|-|3| 9|
W027  |10| 5|3|o|x|0,3,1,1,0,0,0,0,0|0,1,0,0,1,0,0,0,0|c|4|10|
W028  |10| 8|3|o|o|0,4,2,2,0,0,0,0,0|0,0,0,0,1,0,0,0,0|a|2| 6|
W029  |10| 8|3|x|o|0,3,3,2,0,0,0,0,0|1,0,0,1,0,0,0,0,0|a|3| 8|
W030  |10| 8|6|o|x|0,3,1,1,1,1,1,0,0|0,1,0,0,1,0,0,1,0|a|4|10|
W031  |10| 8|3|o|o|0,2,4,2,0,0,0,0,0|0,0,0,0,0,0,0,0,0|a|1| 2|
W032  |10| 8|4|o|o|0,2,2,2,2,0,0,0,0|0,1,0,0,1,0,0,0,0|a|3| 6|
W033  |10| 8|4|o|o|0,1,4,2,1,0,0,0,0|0,0,0,0,0,1,0,0,0|a|2| 6|
W034  |10| 8|5|o|o|0,1,1,4,1,1,0,0,0|1,0,0,0,0,0,1,0,0|a|3|10|
W035  |10|10|3|x|x|0,4,4,2,0,0,0,0,0|1,0,0,1,1,0,0,0,0|-|3|10|
W036  |10|10|4|x|o|0,4,4,1,1,0,0,0,0|1,0,0,1,1,0,0,0,0|-|3|10|
W037  |10|10|3|o|x|0,4,3,3,0,0,0,0,0|1,0,1,1,1,0,0,0,0|-|4|10|
W038  |10|10|3|x|x|0,4,2,4,0,0,0,0,0|1,0,1,0,1,0,0,0,0|-|3|10|
W039  |10|10|4|x|x|0,4,2,3,1,0,0,0,0|1,0,1,1,0,1,0,0,0|-|4|11|
W040  |10|10|5|x|x|0,4,1,3,1,1,0,0,0|1,0,1,1,0,0,1,0,0|-|4|12|
W041  |10|10|6|x|o|0,4,1,2,1,1,1,0,0|1,0,1,1,0,0,1,0,0|-|4|12|
W042  |10|10|5|x|o|0,4,1,2,0,3,0,0,0|1,0,1,1,1,0,0,0,0|-|4|13|
W043  |10|10|5|x|o|0,4,1,1,1,3,0,0,0|1,0,0,1,1,0,1,0,0|-|4|14|
W044  |10|10|3|x|x|0,3,4,3,0,0,0,0,0|1,1,0,1,1,0,0,0,0|-|4|10|
W045  |10|10|5|o|o|0,3,4,1,1,1,0,0,0|1,0,0,1,0,1,1,0,0|-|4|14|
W046  |10|10|4|o|x|0,3,3,3,1,0,0,0,0|0,1,1,1,1,1,0,0,0|-|5|10|
W047  |10|10|4|x|o|0,3,3,2,2,0,0,0,0|1,0,1,1,1,1,0,0,0|-|5|13|
W048  |10|10|5|o|x|0,3,3,2,1,1,0,0,0|0,1,1,1,1,0,1,0,0|-|5|11|
W049  |10|10|6|o|o|0,3,3,1,1,1,1,0,0|0,1,1,1,1,0,1,1,0|-|6|15|
W050  |10|10|4|x|o|0,3,2,4,1,0,0,0,0|1,1,1,0,1,1,0,0,0|-|5|14|
W051  |10|10|4|o|x|0,3,2,3,2,0,0,0,0|0,0,1,1,1,1,0,0,0|-|4| 9|
W052  |10|10|5|o|x|0,3,2,3,1,1,0,0,0|0,1,1,1,1,0,1,0,0|-|5|11|
W053  |10|10|6|o|x|0,3,2,2,1,1,1,0,0|0,1,1,1,1,0,0,1,0|-|5|12|
W054  |10|10|7|o|x|0,3,2,1,1,1,1,1,0|1,0,1,1,0,1,0,0,1|-|5|16|
W055  |10|10|5|o|o|0,3,1,4,1,1,0,0,0|1,1,1,0,1,1,1,0,0|-|6|18|
W056  |10|10|5|o|x|0,3,1,3,2,1,0,0,0|0,0,1,1,0,1,1,0,0|-|4|11|
W057  |10|10|5|o|o|0,3,1,3,1,2,0,0,0|0,0,0,1,1,1,0,0,0|-|3| 6|
W058  |10|10|6|o|x|0,3,1,3,1,1,1,0,0|1,1,1,1,1,0,0,1,0|-|6|16|
W059  |10|10|6|o|o|0,3,1,2,2,1,1,0,0|0,0,1,1,0,1,1,0,0|-|4|11|
W060  |10|10|5|o|o|0,3,1,2,1,3,0,0,0|0,1,1,1,1,1,0,0,0|-|5|10|
W061  |10|10|7|o|x|0,3,1,2,1,1,1,1,0|0,0,1,1,0,1,0,0,1|-|4|12|
W062  |10|10|6|o|o|0,3,1,1,2,1,2,0,0|0,0,0,1,0,1,1,0,0|-|3| 8|
W063  |10|10|6|o|o|0,3,1,1,1,3,1,0,0|0,1,0,0,1,1,1,1,0|-|5|12|
W064  |10|10|6|o|o|0,3,1,1,1,2,2,0,0|0,0,0,0,1,1,1,1,0|-|4|11|
W065  |10|10|7|o|x|0,3,1,1,1,2,1,1,0|1,0,1,1,0,1,1,0,1|-|6|19|
W066  |10|10|6|o|o|0,3,1,1,1,1,3,0,0|1,1,1,1,1,1,1,1,0|-|8|22|
W067  |10|10|7|o|x|0,3,1,1,1,1,2,1,0|0,0,0,0,0,1,1,0,1|-|3| 9|
W068-l|10|10|8|-|o|3,1,1,1,1,1,1,1,0|0,1,1,0,1,1,0,1,1|-|6|19|
W068-r|10|10|8|o|-|0,3,1,1,1,1,1,1,1|1,0,1,1,0,1,1,0,1|-|6|19|
W069  |10|10|9|-|-|3,1,1,1,1,1,1,0,1|0,0,0,0,0,0,0,1,1|-|2| 7|
W070-l|10|10|8|-|x|3,1,1,1,0,2,1,1,0|0,0,0,0,1,1,0,0,1|-|3|10|
W071  |10|10|9|-|-|3,1,1,1,0,1,1,1,1|0,0,0,0,1,1,0,0,1|-|3|10|
W072-l|10|10|8|-|o|3,1,1,1,0,1,0,3,0|0,0,0,0,1,1,1,0,0|-|3|11|
W072-r|10|10|8|o|-|0,3,1,1,1,0,1,0,3|0,0,0,0,0,1,1,1,0|-|3|11|
W073  |10|10|6|o|o|0,3,0,4,1,1,1,0,0|0,0,1,0,0,0,1,0,0|-|2| 7|
W074  |10|10|5|o|o|0,3,0,4,0,3,0,0,0|0,0,1,0,1,0,0,0,0|-|2| 8|
W075  |10|10|5|o|o|0,3,0,3,2,2,0,0,0|0,0,1,1,1,1,1,0,0|-|5|13|
W076-l|10|10|8|-|x|3,0,2,1,1,1,1,1,0|0,1,1,0,0,1,0,0,1|-|4|13|
W077  |10|10|6|o|o|0,3,0,1,1,4,1,0,0|0,0,1,1,1,0,1,1,0|-|5|17|
W078-l|10|10|8|-|x|3,0,1,1,1,2,1,1,0|0,1,1,0,0,1,0,0,1|-|4|13|
W079  |10|10|9|-|-|3,0,1,1,1,1,1,1,1|0,1,1,0,0,1,0,0,1|-|4|13|
W080-l|10|10|8|-|o|3,0,1,1,1,1,0,3,0|0,1,1,0,0,1,1,0,0|-|4|14|
W080-r|10|10|8|o|-|0,3,0,1,1,1,1,0,3|0,0,1,1,0,0,1,1,0|-|4|14|
W081  |10|10|4|o|x|0,2,4,3,1,0,0,0,0|0,1,0,1,0,1,0,0,0|-|3| 7|
W082  |10|10|5|o|x|0,2,4,2,1,1,0,0,0|1,1,0,1,1,0,1,0,0|-|5|15|
W083  |10|10|6|o|x|0,2,4,1,1,1,1,0,0|1,1,0,1,1,0,0,1,0|-|5|16|
W084  |10|10|4|x|o|0,2,3,4,1,0,0,0,0|1,1,1,0,0,1,0,0,0|-|4|11|
W085  |10|10|5|o|o|0,2,3,3,1,1,0,0,0|0,1,1,1,0,1,1,0,0|-|5|11|
W086  |10|10|6|o|o|0,2,3,3,1,0,1,0,0|0,0,0,0,0,1,1,0,0|-|2| 7|
W087  |10|10|5|o|o|0,2,3,2,1,2,0,0,0|1,0,0,1,1,0,0,0,0|-|3| 9|
W088  |10|10|5|o|o|0,2,2,4,1,1,0,0,0|1,1,1,0,0,0,1,0,0|-|4|12|
W089  |10|10|6|o|o|0,2,2,3,1,1,1,0,0|1,1,1,1,0,0,1,0,0|-|5|12|
W090  |10|10|5|o|o|0,2,2,2,2,2,0,0,0|0,1,1,0,1,1,0,0,0|-|4| 8|
W091  |10|10|6|o|x|0,2,1,4,1,1,1,0,0|0,1,1,0,1,0,0,1,0|-|4|12|
