2024-09-03,G,S,l
2024-09-03,DB,C,w
2024-09-03,T,D,w
2024-09-04,G,S,l
2024-09-04,DB,C,w
2024-09-04,T,D,w
2024-09-05,G,S,w
2024-09-05,DB,C,w
2024-09-05,T,D,w
2024-09-06,S,T,l
2024-09-06,C,D,l
2024-09-07,G,DB,w
2024-09-07,C,D,w
2024-09-07,S,T,l
2024-09-08,C,D,l
2024-09-08,G,DB,l
2024-09-08,S,T,w
2024-09-10,D,S,w
2024-09-10,T,DB,w
2024-09-10,C,G,l
2024-09-11,D,S,l
2024-09-11,T,DB,l
2024-09-11,C,G,l
2024-09-12,D,S,l
2024-09-12,C,G,l
2024-09-13,S,G,w
2024-09-13,DB,D,w
2024-09-13,T,C,w
2024-09-14,DB,D,l
2024-09-14,T,C,w
2024-09-14,G,S,l
2024-09-15,G,D,w
2024-09-15,T,S,w
2024-09-15,C,DB,w
2024-09-16,G,D,w
2024-09-16,T,S,w
2024-09-16,C,DB,l
2024-09-18,G,DB,d
2024-09-18,S,C,w
2024-09-18,D,T,l
2024-09-19,G,DB,w
2024-09-19,S,C,w
2024-09-20,S,D,l
2024-09-20,DB,T,w
2024-09-20,C,G,l
2024-09-21,DB,T,l
2024-09-21,C,G,w
2024-09-21,S,D,l
2024-09-22,DB,S,w
2024-09-22,D,C,w
2024-09-22,T,G,w
2024-09-23,DB,S,l
2024-09-23,D,C,w
2024-09-23,T,G,l
